utt_id,wav_path,text,speaker_id,language
SSB00050001,wavs/SSB00050001.wav,广州女大学生登山失联四天警方找到疑似女尸,speaker_a,zh
SSB00050002,wavs/SSB00050002.wav,尊重科学规律的要求,speaker_a,zh
SSB00050003,wavs/SSB00050003.wav,七路无人售票,speaker_a,zh
SSB00050004,wavs/SSB00050004.wav,黑客宣布只要拨打某一个电话,speaker_a,zh
SSB00050005,wavs/SSB00050005.wav,北京万科总经理刘肖的观点极具代表性,speaker_a,zh
SSB00050006,wavs/SSB00050006.wav,五百四十五万七千一百二十二,speaker_a,zh
SSB00050007,wavs/SSB00050007.wav,广州大学城女尸案嫌疑犯变供称死者为女友,speaker_a,zh
SSB00050008,wavs/SSB00050008.wav,搜狐娱乐讯据台湾媒体报道,speaker_a,zh
SSB00050009,wavs/SSB00050009.wav,北郊,speaker_a,zh
SSB00050010,wavs/SSB00050010.wav,职业联赛该干的让职业联赛干,speaker_a,zh
SSB00050011,wavs/SSB00050011.wav,娱乐天空,speaker_a,zh
SSB00050012,wavs/SSB00050012.wav,儿子趁机玩儿爸爸的手机,speaker_a,zh
SSB00050013,wavs/SSB00050013.wav,未来广州将把高铁引进市区,speaker_a,zh
SSB00050014,wavs/SSB00050014.wav,将于十一月二十一日早七点在东方明珠塔下跑起,speaker_a,zh
SSB00050015,wavs/SSB00050015.wav,经广州日报报道后成为了社会热点,speaker_a,zh
SSB00050016,wavs/SSB00050016.wav,反倒会伤害国家队的长远利益,speaker_a,zh
SSB00050017,wavs/SSB00050017.wav,他前天举办粉丝见面会,speaker_a,zh
SSB00050018,wavs/SSB00050018.wav,五百五十二万六千零三,speaker_a,zh
SSB00050019,wavs/SSB00050019.wav,带动服务经济社会发展,speaker_a,zh
SSB00050020,wavs/SSB00050020.wav,该机场紧急处置一起非法干扰航班事件,speaker_a,zh
SSB00050021,wavs/SSB00050021.wav,购买高价项目的客群心态也在发生改变,speaker_a,zh
SSB00050022,wavs/SSB00050022.wav,广州女孩儿失联剧情反转因诈骗被拘一直隐瞒身份,speaker_a,zh
SSB00050023,wavs/SSB00050023.wav,一百家新型产业公司平均实现营业收入四亿元,speaker_a,zh
SSB00050024,wavs/SSB00050024.wav,除了提高产品品质外,speaker_a,zh
SSB00050025,wavs/SSB00050025.wav,他们的价格大都在二三千万之间,speaker_a,zh
SSB00050027,wavs/SSB00050027.wav,特斯拉官网官微被黑客劫持宣布免费运车搜狐科技,speaker_a,zh
SSB00050028,wavs/SSB00050028.wav,十路无人售票第一人民医院站,speaker_a,zh
SSB00050029,wavs/SSB00050029.wav,龙湖是最早进入孙河板块的企房企,speaker_a,zh
SSB00050030,wavs/SSB00050030.wav,为公益进行一次身体力行的贡献,speaker_a,zh
SSB00050031,wavs/SSB00050031.wav,能有组织地进行体育锻炼,speaker_a,zh
SSB00050032,wavs/SSB00050032.wav,特斯拉将全面支持新国标,speaker_a,zh
SSB00050033,wavs/SSB00050033.wav,是众辉体育以服务全国跑者为核心,speaker_a,zh
SSB00050034,wavs/SSB00050034.wav,实现社会资源的有效配置,speaker_a,zh
SSB00050035,wavs/SSB00050035.wav,推进信息化与工业化深度融合,speaker_a,zh
SSB00050036,wavs/SSB00050036.wav,深圳创新投董事长靳海涛表示,speaker_a,zh
SSB00050037,wavs/SSB00050037.wav,面对何时结婚的问题,speaker_a,zh
SSB00050038,wavs/SSB00050038.wav,价格已基本都在三万到六万之间,speaker_a,zh
SSB00050039,wavs/SSB00050039.wav,应尽量简化并购重组审核程序,speaker_a,zh
SSB00050040,wavs/SSB00050040.wav,预计二零一五年将超过五亿美元,speaker_a,zh
SSB00050041,wavs/SSB00050041.wav,请帮我搜一下爱你一万年这首歌曲,speaker_a,zh
SSB00050042,wavs/SSB00050042.wav,极速,speaker_a,zh
SSB00050043,wavs/SSB00050043.wav,四十八路无人售票,speaker_a,zh
SSB00050044,wavs/SSB00050044.wav,智慧城市无成熟商业模式,speaker_a,zh
SSB00050045,wavs/SSB00050045.wav,确认退出,speaker_a,zh
SSB00050046,wavs/SSB00050046.wav,义乌是电子政与务云的先行者,speaker_a,zh
SSB00050047,wavs/SSB00050047.wav,加快规模试验工作,speaker_a,zh
SSB00050048,wavs/SSB00050048.wav,姚明作为品牌的发起人,speaker_a,zh
SSB00050049,wavs/SSB00050049.wav,五百四十七,speaker_a,zh
SSB00050050,wavs/SSB00050050.wav,确认死者为一名女性,speaker_a,zh
SSB00050051,wavs/SSB00050051.wav,一路向北,speaker_a,zh
SSB00050052,wavs/SSB00050052.wav,四路无人售票第一人民医院站,speaker_a,zh
SSB00050053,wavs/SSB00050053.wav,关于篮球改革就是要各安其位,speaker_a,zh
SSB00050055,wavs/SSB00050055.wav,也许以后我们也会考虑,speaker_a,zh
SSB00050056,wavs/SSB00050056.wav,广州处置一起非法干扰航班事件二人轻伤,speaker_a,zh
SSB00050057,wavs/SSB00050057.wav,这几年我与姚基金走访了很多中西部贫困地区,speaker_a,zh
SSB00050058,wavs/SSB00050058.wav,听着会觉得很高大上两年后谈到智慧城市,speaker_a,zh
SSB00050059,wavs/SSB00050059.wav,深交所副总经理周明表示,speaker_a,zh
SSB00050060,wavs/SSB00050060.wav,自从二零一四年涉足跑步领域以来,speaker_a,zh
SSB00050061,wavs/SSB00050061.wav,供应的增加会加剧积压的风险,speaker_a,zh
SSB00050063,wavs/SSB00050063.wav,广州失踪女大学生浮尸流花湖警方立案侦查,speaker_a,zh
SSB00050064,wavs/SSB00050064.wav,广州小楼被立交圈三六零度包围系因赔偿谈不拢,speaker_a,zh
SSB00050065,wavs/SSB00050065.wav,创业板九十家新上市公司中,speaker_a,zh
SSB00050066,wavs/SSB00050066.wav,七路无人售票,speaker_a,zh
SSB00050067,wavs/SSB00050067.wav,给团队一个必须兑现的承诺,speaker_a,zh
SSB00050068,wavs/SSB00050068.wav,我说北京房价进入六万元时代,speaker_a,zh
SSB00050069,wavs/SSB00050069.wav,推出的一站式服务线上线下整合式平台,speaker_a,zh
SSB00050070,wavs/SSB00050070.wav,五百四十五万七千零,speaker_a,zh
SSB00050071,wavs/SSB00050071.wav,要本着服从国家利益,speaker_a,zh
SSB00050072,wavs/SSB00050072.wav,四季,speaker_a,zh
SSB00050074,wavs/SSB00050074.wav,地方政府企业投资方在接洽项目签订合约的同时,speaker_a,zh
SSB00050075,wavs/SSB00050075.wav,七月十日十二日,speaker_a,zh
